plotcode,country,plotsize_m2,biomass_vascular_plants_g.m-2,NP_vascular_plants,harvest_year,resNPbio,nosp,aveMean_root_diameter_D,aveRoot_nitrogen_concentration_RN,aveRoot_tissue_density_RTD,aveSpecific_root_length_SRL,aveN-fixing,aveAM,aveNM,aveEcM,aveErM,aveNM_AM,aveOM,aveMycorrhizal_association_capacity_MA,aveRoot_mycorrhizal_colonization_intensity_%M,aveCluster_roots,resMean_root_diameter_D,resRoot_nitrogen_concentration_RN,resRoot_tissue_density_RTD,resSpecific_root_length_SRL,resN-fixing,resAM,resNM,resEcM,resErM,resNM_AM,resOM,resMycorrhizal_association_capacity_MA,resRoot_mycorrhizal_colonization_intensity_%M,resCluster_roots
hr_M1,5,25,424.7000000000,7.1300000000,2001.0000000000,-0.3342272338,13.0000000000,-1.5372400997,2.3713415359,-1.9701238379,5.0349032872,0.0769230769,0.7692307692,0.0000000000,0.0000000000,0.0000000000,0.2307692308,0.0000000000,0.7692307692,57.9846761740,0.0000000000,0.0820828854,0.1687286497,-0.0714031089,-0.0470501853,0.4350216538,1.7248245729,-1.2107614639,-0.0558504089,-0.1259423319,-1.2298538677,-0.6138149760,1.6173168633,11.7645025190,-0.7031340934
hr_M2,5,25,422.4000000000,6.4100000000,2001.0000000000,-0.4417448863,14.0000000000,-1.5568875351,2.4246679579,-1.9892101752,4.9771169060,0.0714285714,0.7857142857,0.0000000000,0.0000000000,0.0000000000,0.2142857143,0.0000000000,0.7857142857,56.7336111110,0.0000000000,0.0622511961,0.2223897242,-0.0906740412,-0.1044033588,0.3689529205,1.9279008960,-1.2567907707,-0.0580129559,-0.1311612011,-1.4162375432,-0.6374860814,1.8165062740,10.5180452542,-0.7652376064
hr_M3,5,25,528.1000000000,7.5000000000,2001.0000000000,-0.2408723899,11.0000000000,-1.3909883440,2.7672327288,-1.8945980505,4.7782566526,0.1818181818,0.7272727273,0.0000000000,0.0000000000,0.0000000000,0.2727272727,0.0000000000,0.7272727273,57.1394109167,0.0000000000,0.2357282240,0.5511911959,0.0115299504,-0.3210802067,1.5530302096,1.2243169371,-1.1022640244,-0.0494820314,-0.1004720785,-0.7828119023,-0.5471170802,1.1362425387,10.7343394835,-0.6082462690
hr_M4,5,25,534.1000000000,7.4200000000,2001.0000000000,-0.2493792503,24.0000000000,-1.7020681471,2.3889319864,-1.9099292863,5.1708845443,0.1666666667,0.8333333333,0.0000000000,0.0000000000,0.0000000000,0.1666666667,0.0000000000,0.8333333333,51.8183025515,0.0000000000,-0.0749682498,0.1721942288,-0.0034172463,0.0706464221,2.0628125849,2.9604146919,-1.6272776392,-0.0729476863,-0.1473152825,-2.3310249656,-0.8068262790,2.8351148555,5.4036448672,-0.9909650900
hr_M5,5,25,370.0000000000,5.7100000000,2001.0000000000,-0.5833781907,14.0000000000,-1.5507801847,2.5727501575,-1.9559445575,5.0908184687,0.0714285714,0.7142857143,0.0000000000,0.0000000000,0.0000000000,0.2857142857,0.0000000000,0.7142857143,51.3482880764,0.0000000000,0.0638644381,0.3786343799,-0.0619108528,0.0198645055,0.3931905872,1.3912816981,-1.2647232627,-0.0593519324,-0.1430204748,-0.8570180888,-0.6498063762,1.2698447076,5.2451103126,-0.7232583157
hr_M6,5,25,358.1000000000,5.3100000000,2001.0000000000,-0.6624208848,13.0000000000,-1.7298043321,2.6218669583,-1.7612446830,5.2870930259,0.0769230769,0.6923076923,0.0000000000,0.0000000000,0.0000000000,0.3076923077,0.0000000000,0.6923076923,53.7154411763,0.0000000000,-0.1162689279,0.4297658065,0.1316777495,0.2187469964,0.4654781594,1.1841655786,-1.2206114708,-0.0575159680,-0.1407939651,-0.6639324192,-0.6291339318,1.0647339058,7.6400026064,-0.7604877157
hr_R1,5,25,282.5000000000,10.6900000000,2001.0000000000,-0.0092411277,33.0000000000,-1.5539976588,2.4788310495,-1.9750335815,5.3244590601,0.1818181818,0.9090909091,0.0000000000,0.0000000000,0.0000000000,0.0909090909,0.0000000000,0.9090909091,52.5875770446,0.0000000000,0.0514916383,0.3013436964,-0.0901721534,0.2750305968,2.9013369706,4.8436183285,-1.9667632843,-0.0954587962,-0.2619188916,-4.0409748887,-1.0373016323,4.6448379528,6.7133544980,-1.2409519317
hr_R2,5,25,429.2000000000,5.3100000000,2001.0000000000,-0.6268781792,20.0000000000,-1.6851532824,#N/A,-1.9084170719,5.4481787336,0.0500000000,0.7500000000,0.0000000000,0.0000000000,0.0000000000,0.2500000000,0.0000000000,0.7500000000,55.1021978023,0.0000000000,-0.0654726689,#N/A,-0.0093380523,0.3653844248,0.0218043977,1.9479935946,-1.5010128852,-0.0691482317,-0.1551398703,-1.3320417056,-0.7601847421,1.8147739873,8.8730806218,-0.8193138339
hr_R3,5,25,470.2000000000,5.2000000000,2001.0000000000,-0.6299066345,14.0000000000,-1.6791524345,#N/A,-1.8499712338,5.3682982753,0.0000000000,0.7857142857,0.0000000000,0.0000000000,0.0000000000,0.2142857143,0.0000000000,0.7857142857,54.5031250000,0.0000000000,-0.0563761516,#N/A,0.0522091866,0.2782255985,-1.1967061315,1.8942724532,-1.2504045958,-0.0569513314,-0.1222858189,-1.3929825413,-0.6276827940,1.7893627227,8.1965917160,-0.6228908227
hr_R4,5,25,546.1000000000,6.5300000000,2001.0000000000,-0.3727909150,20.0000000000,-1.5611716904,#N/A,-1.9683468050,5.3336445188,0.1500000000,0.6500000000,0.0000000000,0.0000000000,0.0000000000,0.3500000000,0.0000000000,0.6500000000,54.3257110538,0.0000000000,0.0666821133,#N/A,-0.0610794628,0.2316338533,1.6415139322,0.9141947273,-1.4839260677,-0.0663374028,-0.1325409588,-0.3134145774,-0.7341654412,0.7962345462,7.8921997747,-0.7534234513
