species,species occurence frequency (pool),threatened,N_variance,P_variance,K_variance,NP_variance,NK_variance,KP_variance,N_median,P_median,K_median,NP_median,NK_median,KP_median
Tofieldia calyculata,31,Yes,3.22,0.02,11.23,0.04,0.09,0.07,16.86,0.78,10.68,22.58,1.55,14.34
Trichophorum cespitosum,129,Yes,12.51,0.06,17.56,0.1,0.18,0.22,14.54,0.72,8.66,21.54,1.63,12.67
Trifolium dubium,57,No,15.33,0.75,54.81,0.12,0.26,0.17,14.35,2.22,20.4,6.33,0.73,9.17
Trifolium medium,16,Yes,6.79,0.02,7.7,0.08,0.12,0.03,15.71,0.74,10.55,23.35,1.62,15.36
Trifolium montanum,32,No,2.87,0.02,10.94,0.04,0.08,0.07,16.91,0.79,11.55,22.02,1.39,15.26
Trifolium pratense,250,No,18.03,0.71,53.96,0.22,0.47,0.48,15.63,1.95,11.54,7.81,1.29,6.89
Trifolium repens,202,No,19.97,0.64,57.29,0.14,0.49,0.42,15.04,2.06,11.47,7.36,1.27,6.31
Triglochin maritima,20,No,9.18,0.51,43.8,0.11,0.17,0.36,15.69,1.69,18.3,8.25,0.88,9.74
Triglochin palustris,152,No,7.94,0.56,53.11,0.25,0.18,0.34,13.63,0.93,12.42,14.29,1.1,12.36
Trisetum flavescens,11,No,14.44,0.42,31.33,0.2,0.07,0.12,10.66,1.46,15.95,6.41,0.64,9.2
Trollius europaeus,12,Yes,3.83,0.01,6.53,0.03,0.09,0.07,16.81,0.8,11.03,20.79,1.54,12.75
Typha angustifolia,90,No,19.18,0.57,47.26,0.14,0.39,0.5,13.95,1.38,12.76,10.1,1.11,8.54
Typha latifolia,80,No,10.02,0.25,65.98,0.12,0.15,0.35,13.26,1.14,13.17,12.09,1,11.57
Urtica dioica,196,No,18.24,0.6,59.07,0.13,0.32,0.34,14.21,1.89,12.83,7.31,1.02,7.39
Utricularia intermedia,136,Yes,7.17,0.17,51.35,0.19,0.22,0.27,13.23,0.83,10.29,17.03,1.2,14.32
Utricularia minor,95,Yes,6.09,0.11,45.38,0.11,0.17,0.22,13.81,0.81,10.85,17.7,1.2,14.59
Utricularia vulgaris,25,Yes,7.6,0.21,54.76,0.07,0.17,0.28,12.34,1.12,12.59,10.12,1.04,8.59
Valeriana dioica,14,Yes,7.74,0.15,13.74,0.11,0.3,0.38,13.97,0.84,11.81,16.39,1.25,14.79
Valeriana officinalis,166,No,15.45,0.42,36.71,0.13,0.39,0.45,15.35,1.61,9.16,9.67,1.57,6.01
Valeriana pratensis,16,No,11.51,0.5,40.62,0.07,0.02,0.04,14.69,2.2,21.78,6.3,0.72,9.66
Veronica chamaedrys,37,No,10.31,0.18,19.91,0.13,0.69,0.56,10.62,1.66,6.55,6.75,1.79,4.75
Veronica longifolia,96,Yes,11.2,0.57,58.86,0.22,0.4,0.39,14.09,1.62,14.65,8.35,0.84,8.59
Veronica scutellata,29,No,5.82,0.31,10.16,0.11,0.05,0.13,13.26,1.16,12.69,11.02,1.04,11.02
Vicia cracca,499,No,15.64,0.66,49.49,0.23,0.39,0.44,14.87,1.58,11.2,9.14,1.28,7.73
Vicia sativa,11,No,9.52,0.08,47.39,0.08,0.89,0.57,11.2,2.13,11.41,4.78,0.89,6.25
Vincetoxicum hirundinaria,48,Yes,6.15,0.06,15.83,0.09,0.13,0.05,16.75,0.79,11.37,21.41,1.38,15.07
Viola hirta,38,No,4.5,0.07,14.35,0.12,0.14,0.06,16.75,0.77,10.97,22.74,1.52,15.18
Viola palustris,187,No,14.05,0.42,24.2,0.17,0.31,0.43,14.98,1.12,9.45,13.5,1.56,8.76
Viola persicifolia,17,Yes,18.3,0.16,25.16,0.05,0.74,0.71,15.77,1.03,10.76,15.53,1.39,8.43
