mrd,Rz,Treatment,dafs
-2.2798085816553413,29,L-first,4
-4.456369797841719,29,L-first,7
-5.691030655011961,29,L-first,9
-6.58392210535703,29,L-first,11
-7.293772922062366,29,L-first,14
-8.277802504422827,29,L-first,16
-8.3023426976418655,29,L-first,18
-9.185422696991324,29,L-first,21
-10.113196065689465,29,L-first,23
-11.131341254026268,29,L-first,25
-11.078409498224865,29,L-first,28
-12.338231748452037,29,L-first,30
-10.796459865306582,29,L-first,32
-11.293325312651952,29,L-first,35
-11.388631874274187,29,L-first,37
-10.958215578734087,29,L-first,39
-11.09650344789564,29,L-first,42
-11.722981549984096,29,L-first,44
0,30,G-first,2
0,30,G-first,4
-2.5631881053635555,30,G-first,7
-3.3969668315902197,30,G-first,9
-4.078172166400662,30,G-first,11
-3.365237619975479,30,G-first,14
-3.1137004649127653,30,G-first,16
-3.187531939534824,30,G-first,18
-4.67954154387378,30,G-first,21
-5.149937989215277,30,G-first,23
-5.544068127875347,30,G-first,25
-5.586064158944229,30,G-first,28
-7.300095733740883,30,G-first,30
-6.481291876587353,30,G-first,32
-6.892030293482064,30,G-first,35
-7.634332896883678,30,G-first,37
-7.862509250049185,30,G-first,39
-8.733508573636009,30,G-first,42
-9.413231360836647,30,G-first,44
-1.5581498473634596,31,L-first,2
-3.0211447431890033,31,L-first,4
-4.977865003246335,31,L-first,7
-6.003097871501385,31,L-first,9
-6.692296421667908,31,L-first,11
-7.264549145383373,31,L-first,14
-8.052774229186001,31,L-first,16
-7.7896595816905725,31,L-first,18
-8.413540571404319,31,L-first,21
-8.964430415633261,31,L-first,23
-9.651510832104718,31,L-first,25
-9.742181947644212,31,L-first,28
-10.886671304813822,31,L-first,30
-9.494815141236495,31,L-first,32
-9.13089092336188,31,L-first,35
-9.437420856391933,31,L-first,37
-8.91153592925681,31,L-first,39
-8.915556077527912,31,L-first,42
-9.178657844847482,31,L-first,44
0,37,F-first,2
0,37,F-first,4
-2.5407639099408854,37,F-first,7
-3.5962606232632863,37,F-first,9
-5.506731095259751,37,F-first,11
-5.881647097349066,37,F-first,14
-6.875567204244327,37,F-first,16
-7.171844615551745,37,F-first,18
-7.931119039119302,37,F-first,21
-8.213674485844093,37,F-first,23
-8.7785924794079655,37,F-first,25
-8.822631773825629,37,F-first,28
-10.191644048571426,37,F-first,30
-9.30996234602552,37,F-first,32
-9.594790054603674,37,F-first,35
